thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,up,1,1.0381654000002527,None,0,0,0,0,0,0.01163289999931294,,0.005249799999546667,0.01163289999931294,1.0016012999994928,1.0016012999994928,3.1779862999992474,up,1,1.0381654000002527,None,0,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
1,0,1,up,0,0.7068628999995781,None,-2,1,0,1,0,3.184227999999166,,3.1782242999997834,3.184227999999166,4.170363699999143,4.170363699999143,4.880880299999262,up,0,0.7068628999995781,None,-2,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
2,0,2,down,1,0.7168886999997994,None,4,2,0,2,0,4.886339599999701,,4.881057399999918,4.886339599999701,5.872399500000029,5.872399500000029,6.59443679999913,down,1,0.7168886999997994,None,4,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
3,0,3,down,0,0.6402665999994497,None,0,3,0,3,0,6.60103269999945,,6.594617599999765,6.60103269999945,7.587701799999195,7.587701799999195,8.23307399999976,down,0,0.6402665999994497,None,0,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
4,0,4,up,1,0.5369499000007636,None,0,4,0,4,0,8.239957499999946,,8.23323579999942,8.239957499999946,9.226314399999865,9.226314399999865,9.768424699999741,up,1,0.5369499000007636,None,0,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
5,0,5,down,1,0.49092689999997674,None,4,5,0,5,0,9.774964199999886,,9.768694099999266,9.774964199999886,10.761281799999779,10.761281799999779,11.254664399999456,down,1,0.49092689999997674,None,4,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
6,0,6,up,1,1.04682959999991,None,0,6,0,6,0,11.261060599999837,,11.254823399999623,11.261060599999837,12.247537999999622,12.247537999999622,13.296307599999636,up,1,1.04682959999991,None,0,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
7,0,7,down,1,1.05649910000011,None,-4,7,0,7,0,13.302862599999571,,13.296479999999974,13.302862599999571,14.289046599999892,14.289046599999892,15.351450499999373,down,1,1.05649910000011,None,-4,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
8,0,8,down,1,0.7055823000000601,None,-3,8,0,8,0,15.358315299999958,,15.35173929999928,15.358315299999958,16.344002199999522,16.344002199999522,17.052805799999987,down,1,0.7055823000000601,None,-3,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
9,0,9,down,0,0.8130317999994077,None,0,9,0,9,0,17.059213499999714,,17.053065799999786,17.059213499999714,18.046608799999376,18.046608799999376,18.86521399999947,down,0,0.8130317999994077,None,0,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
10,0,10,up,0,0.6383691999999428,None,1,10,0,10,0,18.872108699999444,,18.86538549999932,18.872108699999444,19.85793029999968,19.85793029999968,20.497535999999855,up,0,0.6383691999999428,None,1,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
11,0,11,up,1,0.5782982000000629,None,0,11,0,11,0,20.504299100000026,,20.49768849999964,20.504299100000026,21.489850099999785,21.489850099999785,22.07391649999954,up,1,0.5782982000000629,None,0,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
12,0,12,down,1,0.5301851000003808,None,-4,12,0,12,0,22.080579999999827,,22.074073899999348,22.080579999999827,23.06644299999971,23.06644299999971,23.601296099999672,down,1,0.5301851000003808,None,-4,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
13,0,13,up,1,0.9085921000005328,None,0,13,0,13,0,23.60797999999977,,23.601462499999798,23.60797999999977,24.5952656999998,24.5952656999998,25.50481579999996,up,1,0.9085921000005328,None,0,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
14,0,14,down,1,1.3581965000003038,None,3,14,0,14,0,25.511396299999433,,25.5050683999998,25.511396299999433,26.497408899999755,26.497408899999755,27.858418799999527,down,1,1.3581965000003038,None,3,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
15,0,15,down,0,1.1213414000003468,None,0,15,0,15,0,27.86552809999921,,27.858564099999967,27.86552809999921,28.8512953999998,28.8512953999998,29.976972299999943,down,0,1.1213414000003468,None,0,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
16,0,16,up,0,0.8941434000007575,None,4,16,0,16,0,29.983681499999875,,29.97715049999988,29.983681499999875,30.969556699999885,30.969556699999885,31.86602579999999,up,0,0.8941434000007575,None,4,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
17,0,17,up,1,0.6600529000006645,None,0,17,0,17,0,31.8726858,,31.86616419999973,31.8726858,32.8584637999993,32.8584637999993,33.52597279999918,up,1,0.6600529000006645,None,0,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
18,0,18,down,1,0.6094402999997328,None,-4,18,0,18,0,33.5324415999994,,33.526139699999476,33.5324415999994,34.51822129999982,34.51822129999982,35.12982099999954,down,1,0.6094402999997328,None,-4,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
19,0,19,down,0,0.7968423000002076,None,0,19,0,19,0,35.13589429999956,,35.1299870999992,35.13589429999956,36.12209399999938,36.12209399999938,36.921690999999555,down,0,0.7968423000002076,None,0,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
20,0,20,up,0,1.7142980999997235,None,-2,20,0,20,0,36.92825719999928,,36.92186769999989,36.92825719999928,37.9137484999992,37.9137484999992,39.63036159999956,up,0,1.7142980999997235,None,-2,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
21,0,21,down,1,0.7989889000000403,None,-3,21,0,21,0,39.636569999999665,,39.63052199999947,39.636569999999665,40.6223059999993,40.6223059999993,41.42834599999969,down,1,0.7989889000000403,None,-3,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
22,0,22,up,1,0.8650864000001093,None,0,22,0,22,0,41.43472659999952,,41.428522399999565,41.43472659999952,42.42118049999954,42.42118049999954,43.28923659999964,up,1,0.8650864000001093,None,0,1,001,2025-09-10_18h03.24.581,orientation_discrimination,,2025.1.1,146.2730361755524,2025-09-10 18h03.33.533957 +0530,
