stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,2,10,0.0217863,,0.0095727,0.0217863,0.5067916,0.5067916,0.5149425,0.8010043,3.7354307,left,-10,0,0,2.1357051,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
1,1,20,3.7443449,,3.7355708,3.7443449,4.2380643,4.2380643,4.2465334,4.5379233,4.8090819,right,20,1,1,0.5624375,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
2,1,2,4.8210073,,4.8092428,4.8210073,5.3074728,5.3074728,5.3155334,5.6069552,6.4542215,right,2,0,0,1.1458941,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
3,1,20,6.4663906,,6.4544396,6.4663906,6.9531787,6.9531787,6.9612044,7.2531492,7.3646682,right,20,1,1,0.4095207,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
4,1,20,7.3761764,,7.3648293,7.3761764,7.8626876,7.8626876,7.8716032,8.1555554,8.3226322,left,-20,1,1,0.4523574,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
5,0.5,20,8.3348941,,8.3227926,8.3348941,8.821733,8.821733,8.8296042,9.1197134,9.1836147,left,-20,1,1,0.3597133,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
6,0.5,6.32455532,9.196356,,9.1837518,9.196356,9.6832267,9.6832267,9.6919401,9.9827465,10.2049348,right,6.32455532,1,1,0.5159419,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
7,0.5,6.32455532,10.2168892,,10.205044,10.2168892,10.6972424,10.6972424,10.7110617,10.9890169,11.2738566,left,-6.32455532,1,1,0.5716757,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
8,0.5,6.32455532,11.2811109,,11.2739656,11.2811109,11.7724332,11.7724332,11.7810276,12.0654447,12.169666,right,6.32455532,1,1,0.3961507,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
9,0.5,2,12.181753,,12.1698298,12.181753,12.6685906,12.6685906,12.6767022,12.9664391,13.336818,right,2,0,0,0.6653887,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
10,0.5,6.32455532,13.3492359,,13.3370269,13.3492359,13.8367225,13.8367225,13.8488027,14.1283228,14.4061769,right,6.32455532,1,1,0.568897,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
11,0.5,6.32455532,14.4182481,,14.4063663,14.4182481,14.8985666,14.8985666,14.9124652,15.1902075,15.279858,left,-6.32455532,1,1,0.3727783,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
12,0.5,6.32455532,15.2875666,,15.2799608,15.2875666,15.7745145,15.7745145,15.7866597,16.0649446,16.2117104,right,6.32455532,1,1,0.4362766,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
13,0.5,2,16.2236358,,16.2118514,16.2236358,16.7116414,16.7116414,16.7237325,17.003894,17.128822,right,2,0,0,0.4113417,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
14,0.5,6.32455532,17.1408691,,17.1290077,17.1408691,17.6213748,17.6213748,17.642649,17.9131512,18.1776727,right,6.32455532,1,1,0.5517989,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
15,0.5,6.32455532,18.189761,,18.1780078,18.189761,18.675845,18.675845,18.6850179,18.9751019,19.267327,left,-6.32455532,1,1,0.586508,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
16,0.5,6.32455532,19.2799296,,19.2675429,19.2799296,19.7598979,19.7598979,19.7795214,20.0518037,20.3509568,right,6.32455532,1,1,0.5845514,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
17,0.5,2,20.3629023,,20.3510794,20.3629023,20.8488962,20.8488962,20.8579163,21.1413628,21.5040595,left,-2,1,1,0.6467154,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
18,0.5,2,21.5154759,,21.5043104,21.5154759,22.0027572,22.0027572,22.0097995,22.2942314,23.6567778,left,-2,1,1,1.6535865,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
19,0.5,2,23.6680822,,23.6569357,23.6680822,24.1549953,24.1549953,24.1631006,24.4470815,24.746135,right,2,1,1,0.5897529,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
20,0.5,1,24.7528036,,24.7462491,24.7528036,25.2475933,25.2475933,25.2475933,25.5375962,25.794687,left,-1,1,1,0.5441154,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
21,0.5,1,25.8011822,,25.7947885,25.8011822,26.2877701,26.2877701,26.2952634,26.5791408,26.8362498,left,-1,1,1,0.5479707,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
22,0.5,1,26.8428035,,26.8363518,26.8428035,27.335363,27.335363,27.3442037,27.6275896,28.1764777,right,1,0,0,0.8346279,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
23,0.5,3.16227766,28.1836432,,28.1765861,28.1836432,28.6766015,28.6766015,28.6766015,28.9683122,29.2740966,right,3.16227766,1,1,0.5948751,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
24,0.5,3.16227766,29.280601,,29.2742451,29.280601,29.7667063,29.7667063,29.7742681,30.0588652,30.2463036,left,-3.16227766,1,1,0.4781996,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
25,0.5,3.16227766,30.2581709,,30.2465009,30.2581709,30.7393201,30.7393201,30.7531217,31.03035,31.1418704,left,-3.16227766,1,1,0.3955434,689907,1,2025-08-29_17h29.56.133,adaptive_staircase,,2025.1.1,None,2025-08-29 17h29.58.743922 +0530
